"Time","Value"
2024-07-13 15:29:15,181 W
2024-07-13 15:29:30,192 W
2024-07-13 15:29:45,177 W
2024-07-13 15:30:00,188 W
2024-07-13 15:30:15,145 W
2024-07-13 15:30:30,200 W
2024-07-13 15:30:45,183 W
2024-07-13 15:31:00,191 W
2024-07-13 15:31:15,231 W
2024-07-13 15:31:30,185 W
2024-07-13 15:31:45,150 W
2024-07-13 15:32:00,230 W
2024-07-13 15:32:15,217 W
2024-07-13 15:32:30,189 W
2024-07-13 15:32:45,241 W
2024-07-13 15:33:00,170 W
2024-07-13 15:33:15,171 W
2024-07-13 15:33:30,166 W
2024-07-13 15:33:45,232 W
2024-07-13 15:34:00,189 W
2024-07-13 15:34:15,201 W
2024-07-13 15:34:30,254 W
2024-07-13 15:34:45,253 W
2024-07-13 15:35:00,230 W
2024-07-13 15:35:15,210 W
2024-07-13 15:35:30,221 W
2024-07-13 15:35:45,274 W
2024-07-13 15:36:00,231 W
2024-07-13 15:36:15,237 W
2024-07-13 15:36:30,188 W
2024-07-13 15:36:45,149 W
2024-07-13 15:37:00,190 W
2024-07-13 15:37:15,183 W
2024-07-13 15:37:30,226 W
2024-07-13 15:37:45,223 W
2024-07-13 15:38:00,222 W
2024-07-13 15:38:15,174 W
2024-07-13 15:38:30,209 W
2024-07-13 15:38:45,240 W
2024-07-13 15:39:00,231 W
2024-07-13 15:39:15,193 W
2024-07-13 15:39:30,254 W
2024-07-13 15:39:45,241 W
2024-07-13 15:40:00,239 W
2024-07-13 15:40:15,214 W
2024-07-13 15:40:30,171 W
2024-07-13 15:40:45,238 W
2024-07-13 15:41:00,191 W
2024-07-13 15:41:15,280 W
2024-07-13 15:41:30,276 W
2024-07-13 15:41:45,252 W
2024-07-13 15:42:00,257 W
2024-07-13 15:42:15,260 W
2024-07-13 15:42:30,239 W
2024-07-13 15:42:45,163 W
2024-07-13 15:43:00,163 W
2024-07-13 15:43:15,192 W
2024-07-13 15:43:30,215 W
2024-07-13 15:43:45,182 W
2024-07-13 15:44:00,172 W
