"Time","Value"
2024-07-15 16:43:30,282 W
2024-07-15 16:43:35,274 W
2024-07-15 16:43:40,276 W
2024-07-15 16:43:45,291 W
2024-07-15 16:43:50,294 W
2024-07-15 16:43:55,261 W
2024-07-15 16:44:00,275 W
2024-07-15 16:44:05,274 W
2024-07-15 16:44:10,295 W
2024-07-15 16:44:15,284 W
2024-07-15 16:44:20,283 W
2024-07-15 16:44:25,292 W
2024-07-15 16:44:30,279 W
2024-07-15 16:44:35,257 W
2024-07-15 16:44:40,277 W
2024-07-15 16:44:45,288 W
2024-07-15 16:44:50,287 W
2024-07-15 16:44:55,275 W
2024-07-15 16:45:00,283 W
2024-07-15 16:45:05,275 W
2024-07-15 16:45:10,303 W
2024-07-15 16:45:15,274 W
2024-07-15 16:45:20,301 W
2024-07-15 16:45:25,280 W
2024-07-15 16:45:30,284 W
2024-07-15 16:45:35,239 W
2024-07-15 16:45:40,279 W
2024-07-15 16:45:45,285 W
2024-07-15 16:45:50,293 W
2024-07-15 16:45:55,328 W
2024-07-15 16:46:00,309 W
2024-07-15 16:46:05,279 W
2024-07-15 16:46:10,256 W
2024-07-15 16:46:15,268 W
2024-07-15 16:46:20,291 W
2024-07-15 16:46:25,257 W
2024-07-15 16:46:30,273 W
2024-07-15 16:46:35,293 W
2024-07-15 16:46:40,322 W
2024-07-15 16:46:45,293 W
2024-07-15 16:46:50,267 W
2024-07-15 16:46:55,287 W
2024-07-15 16:47:00,288 W
2024-07-15 16:47:05,286 W
2024-07-15 16:47:10,274 W
2024-07-15 16:47:15,275 W
2024-07-15 16:47:20,307 W
2024-07-15 16:47:25,256 W
2024-07-15 16:47:30,258 W
2024-07-15 16:47:35,280 W
2024-07-15 16:47:40,272 W
2024-07-15 16:47:45,295 W
2024-07-15 16:47:50,286 W
2024-07-15 16:47:55,290 W
2024-07-15 16:48:00,284 W
2024-07-15 16:48:05,272 W
2024-07-15 16:48:10,273 W
2024-07-15 16:48:15,294 W
2024-07-15 16:48:20,269 W
2024-07-15 16:48:25,281 W
2024-07-15 16:48:30,275 W
2024-07-15 16:48:35,293 W
2024-07-15 16:48:40,301 W
2024-07-15 16:48:45,274 W
2024-07-15 16:48:50,274 W
2024-07-15 16:48:55,277 W
2024-07-15 16:49:00,273 W
2024-07-15 16:49:05,269 W
2024-07-15 16:49:10,306 W
2024-07-15 16:49:15,276 W
2024-07-15 16:49:20,285 W
2024-07-15 16:49:25,287 W
2024-07-15 16:49:30,271 W
2024-07-15 16:49:35,278 W
2024-07-15 16:49:40,282 W
2024-07-15 16:49:45,267 W
2024-07-15 16:49:50,271 W
2024-07-15 16:49:55,258 W
2024-07-15 16:50:00,268 W
2024-07-15 16:50:05,264 W
2024-07-15 16:50:10,280 W
2024-07-15 16:50:15,295 W
2024-07-15 16:50:20,279 W
2024-07-15 16:50:25,254 W
2024-07-15 16:50:30,263 W
2024-07-15 16:50:35,279 W
2024-07-15 16:50:40,281 W
2024-07-15 16:50:45,271 W
2024-07-15 16:50:50,284 W
2024-07-15 16:50:55,272 W
2024-07-15 16:51:00,262 W
2024-07-15 16:51:05,272 W
2024-07-15 16:51:10,257 W
2024-07-15 16:51:15,280 W
2024-07-15 16:51:20,259 W
2024-07-15 16:51:25,279 W
2024-07-15 16:51:30,259 W
2024-07-15 16:51:35,269 W
2024-07-15 16:51:40,293 W
2024-07-15 16:51:45,290 W
2024-07-15 16:51:50,289 W
2024-07-15 16:51:55,283 W
2024-07-15 16:52:00,288 W
2024-07-15 16:52:05,291 W
2024-07-15 16:52:10,279 W
2024-07-15 16:52:15,294 W
2024-07-15 16:52:20,293 W
2024-07-15 16:52:25,303 W
2024-07-15 16:52:30,281 W
2024-07-15 16:52:35,282 W
2024-07-15 16:52:40,303 W
2024-07-15 16:52:45,287 W
2024-07-15 16:52:50,298 W
2024-07-15 16:52:55,289 W
2024-07-15 16:53:00,277 W
2024-07-15 16:53:05,296 W
2024-07-15 16:53:10,297 W
2024-07-15 16:53:15,313 W
2024-07-15 16:53:20,300 W
2024-07-15 16:53:25,282 W
2024-07-15 16:53:30,285 W
2024-07-15 16:53:35,257 W
2024-07-15 16:53:40,316 W
2024-07-15 16:53:45,276 W
2024-07-15 16:53:50,277 W
2024-07-15 16:53:55,266 W
2024-07-15 16:54:00,265 W
2024-07-15 16:54:05,278 W
2024-07-15 16:54:10,313 W
2024-07-15 16:54:15,287 W
2024-07-15 16:54:20,278 W
2024-07-15 16:54:25,303 W
2024-07-15 16:54:30,299 W
2024-07-15 16:54:35,285 W
2024-07-15 16:54:40,299 W
2024-07-15 16:54:45,262 W
2024-07-15 16:54:50,282 W
2024-07-15 16:54:55,273 W
2024-07-15 16:55:00,276 W
2024-07-15 16:55:05,312 W
2024-07-15 16:55:10,293 W
2024-07-15 16:55:15,267 W
2024-07-15 16:55:20,262 W
2024-07-15 16:55:25,273 W
2024-07-15 16:55:30,274 W
2024-07-15 16:55:35,305 W
2024-07-15 16:55:40,308 W
2024-07-15 16:55:45,267 W
2024-07-15 16:55:50,250 W
2024-07-15 16:55:55,303 W
2024-07-15 16:56:00,297 W
2024-07-15 16:56:05,263 W
2024-07-15 16:56:10,310 W
2024-07-15 16:56:15,280 W
2024-07-15 16:56:20,282 W
2024-07-15 16:56:25,274 W
2024-07-15 16:56:30,289 W
2024-07-15 16:56:35,273 W
2024-07-15 16:56:40,321 W
2024-07-15 16:56:45,284 W
2024-07-15 16:56:50,283 W
2024-07-15 16:56:55,297 W
2024-07-15 16:57:00,288 W
2024-07-15 16:57:05,286 W
2024-07-15 16:57:10,269 W
2024-07-15 16:57:15,257 W
2024-07-15 16:57:20,277 W
2024-07-15 16:57:25,297 W
2024-07-15 16:57:30,288 W
2024-07-15 16:57:35,301 W
2024-07-15 16:57:40,296 W
2024-07-15 16:57:45,278 W
2024-07-15 16:57:50,277 W
2024-07-15 16:57:55,291 W
2024-07-15 16:58:00,313 W
2024-07-15 16:58:05,293 W
2024-07-15 16:58:10,279 W
2024-07-15 16:58:15,292 W
2024-07-15 16:58:20,272 W
2024-07-15 16:58:25,292 W
2024-07-15 16:58:30,294 W
2024-07-15 16:58:35,302 W
2024-07-15 16:58:40,288 W
2024-07-15 16:58:45,291 W
2024-07-15 16:58:50,296 W
2024-07-15 16:58:55,276 W
2024-07-15 16:59:00,294 W
2024-07-15 16:59:05,282 W
2024-07-15 16:59:10,268 W
2024-07-15 16:59:15,306 W
2024-07-15 16:59:20,298 W
2024-07-15 16:59:25,263 W
2024-07-15 16:59:30,284 W
2024-07-15 16:59:35,287 W
2024-07-15 16:59:40,277 W
2024-07-15 16:59:45,297 W
2024-07-15 16:59:50,278 W
2024-07-15 16:59:55,292 W
2024-07-15 17:00:00,278 W
2024-07-15 17:00:05,277 W
2024-07-15 17:00:10,322 W
2024-07-15 17:00:15,291 W
2024-07-15 17:00:20,281 W
