"Time","Value"
2024-07-15 14:51:00,279 W
2024-07-15 14:51:05,315 W
2024-07-15 14:51:10,287 W
2024-07-15 14:51:15,265 W
2024-07-15 14:51:20,287 W
2024-07-15 14:51:25,298 W
2024-07-15 14:51:30,251 W
2024-07-15 14:51:35,290 W
2024-07-15 14:51:40,283 W
2024-07-15 14:51:45,310 W
2024-07-15 14:51:50,285 W
2024-07-15 14:51:55,284 W
2024-07-15 14:52:00,294 W
2024-07-15 14:52:05,308 W
2024-07-15 14:52:10,275 W
2024-07-15 14:52:15,284 W
2024-07-15 14:52:20,318 W
2024-07-15 14:52:25,315 W
2024-07-15 14:52:30,277 W
2024-07-15 14:52:35,277 W
2024-07-15 14:52:40,275 W
2024-07-15 14:52:45,293 W
2024-07-15 14:52:50,270 W
2024-07-15 14:52:55,318 W
2024-07-15 14:53:00,279 W
2024-07-15 14:53:05,220 W
2024-07-15 14:53:10,292 W
2024-07-15 14:53:15,318 W
2024-07-15 14:53:20,283 W
2024-07-15 14:53:25,311 W
2024-07-15 14:53:30,258 W
2024-07-15 14:53:35,295 W
2024-07-15 14:53:40,283 W
2024-07-15 14:53:45,282 W
2024-07-15 14:53:50,311 W
2024-07-15 14:53:55,295 W
2024-07-15 14:54:00,299 W
2024-07-15 14:54:05,293 W
2024-07-15 14:54:10,277 W
2024-07-15 14:54:15,276 W
2024-07-15 14:54:20,323 W
2024-07-15 14:54:25,297 W
2024-07-15 14:54:30,294 W
2024-07-15 14:54:35,299 W
2024-07-15 14:54:40,242 W
2024-07-15 14:54:45,311 W
2024-07-15 14:54:50,321 W
2024-07-15 14:54:55,287 W
2024-07-15 14:55:00,289 W
2024-07-15 14:55:05,292 W
2024-07-15 14:55:10,270 W
2024-07-15 14:55:15,287 W
2024-07-15 14:55:20,288 W
2024-07-15 14:55:25,298 W
2024-07-15 14:55:30,276 W
2024-07-15 14:55:35,302 W
2024-07-15 14:55:40,269 W
2024-07-15 14:55:45,293 W
2024-07-15 14:55:50,319 W
2024-07-15 14:55:55,295 W
2024-07-15 14:56:00,291 W
2024-07-15 14:56:05,290 W
2024-07-15 14:56:10,295 W
2024-07-15 14:56:15,233 W
2024-07-15 14:56:20,312 W
2024-07-15 14:56:25,296 W
2024-07-15 14:56:30,186 W
2024-07-15 14:56:35,317 W
2024-07-15 14:56:40,305 W
2024-07-15 14:56:45,307 W
2024-07-15 14:56:50,276 W
2024-07-15 14:56:55,306 W
2024-07-15 14:57:00,301 W
2024-07-15 14:57:05,262 W
2024-07-15 14:57:10,300 W
2024-07-15 14:57:15,255 W
2024-07-15 14:57:20,282 W
2024-07-15 14:57:25,227 W
2024-07-15 14:57:30,289 W
2024-07-15 14:57:35,233 W
2024-07-15 14:57:40,303 W
2024-07-15 14:57:45,281 W
2024-07-15 14:57:50,303 W
2024-07-15 14:57:55,284 W
2024-07-15 14:58:00,272 W
2024-07-15 14:58:05,285 W
2024-07-15 14:58:10,278 W
2024-07-15 14:58:15,290 W
2024-07-15 14:58:20,266 W
2024-07-15 14:58:25,306 W
2024-07-15 14:58:30,278 W
2024-07-15 14:58:35,247 W
2024-07-15 14:58:40,289 W
2024-07-15 14:58:45,270 W
2024-07-15 14:58:50,279 W
2024-07-15 14:58:55,294 W
2024-07-15 14:59:00,313 W
2024-07-15 14:59:05,285 W
2024-07-15 14:59:10,291 W
2024-07-15 14:59:15,293 W
2024-07-15 14:59:20,291 W
2024-07-15 14:59:25,297 W
2024-07-15 14:59:30,245 W
2024-07-15 14:59:35,276 W
2024-07-15 14:59:40,316 W
2024-07-15 14:59:45,297 W
2024-07-15 14:59:50,313 W
2024-07-15 14:59:55,255 W
2024-07-15 15:00:00,294 W
2024-07-15 15:00:05,282 W
2024-07-15 15:00:10,276 W
2024-07-15 15:00:15,270 W
2024-07-15 15:00:20,248 W
2024-07-15 15:00:25,301 W
2024-07-15 15:00:30,266 W
2024-07-15 15:00:35,285 W
2024-07-15 15:00:40,299 W
2024-07-15 15:00:45,306 W
2024-07-15 15:00:50,271 W
2024-07-15 15:00:55,294 W
2024-07-15 15:01:00,254 W
2024-07-15 15:01:05,215 W
2024-07-15 15:01:10,268 W
2024-07-15 15:01:15,330 W
2024-07-15 15:01:20,299 W
2024-07-15 15:01:25,244 W
2024-07-15 15:01:30,282 W
2024-07-15 15:01:35,303 W
2024-07-15 15:01:40,284 W
2024-07-15 15:01:45,309 W
2024-07-15 15:01:50,328 W
2024-07-15 15:01:55,283 W
2024-07-15 15:02:00,293 W
2024-07-15 15:02:05,273 W
2024-07-15 15:02:10,262 W
2024-07-15 15:02:15,274 W
2024-07-15 15:02:20,296 W
2024-07-15 15:02:25,295 W
2024-07-15 15:02:30,291 W
2024-07-15 15:02:35,280 W
2024-07-15 15:02:40,277 W
2024-07-15 15:02:45,317 W
2024-07-15 15:02:50,286 W
2024-07-15 15:02:55,279 W
2024-07-15 15:03:00,293 W
2024-07-15 15:03:05,282 W
2024-07-15 15:03:10,287 W
2024-07-15 15:03:15,301 W
2024-07-15 15:03:20,280 W
2024-07-15 15:03:25,320 W
2024-07-15 15:03:30,241 W
2024-07-15 15:03:35,276 W
2024-07-15 15:03:40,299 W
2024-07-15 15:03:45,279 W
2024-07-15 15:03:50,300 W
2024-07-15 15:03:55,258 W
2024-07-15 15:04:00,312 W
2024-07-15 15:04:05,320 W
2024-07-15 15:04:10,307 W
2024-07-15 15:04:15,307 W
2024-07-15 15:04:20,283 W
2024-07-15 15:04:25,291 W
2024-07-15 15:04:30,310 W
2024-07-15 15:04:35,353 W
2024-07-15 15:04:40,276 W
2024-07-15 15:04:45,316 W
2024-07-15 15:04:50,302 W
2024-07-15 15:04:55,286 W
2024-07-15 15:05:00,319 W
2024-07-15 15:05:05,291 W
2024-07-15 15:05:10,286 W
2024-07-15 15:05:15,294 W
2024-07-15 15:05:20,279 W
2024-07-15 15:05:25,347 W
2024-07-15 15:05:30,315 W
2024-07-15 15:05:35,266 W
2024-07-15 15:05:40,241 W
2024-07-15 15:05:45,271 W
2024-07-15 15:05:50,277 W
2024-07-15 15:05:55,292 W
2024-07-15 15:06:00,309 W
2024-07-15 15:06:05,331 W
2024-07-15 15:06:10,288 W
2024-07-15 15:06:15,291 W
2024-07-15 15:06:20,256 W
2024-07-15 15:06:25,290 W
2024-07-15 15:06:30,263 W
2024-07-15 15:06:35,297 W
2024-07-15 15:06:40,307 W
2024-07-15 15:06:45,266 W
2024-07-15 15:06:50,287 W
2024-07-15 15:06:55,293 W
2024-07-15 15:07:00,284 W
