"Time","Value"
2024-08-05 12:07:30,127 W
2024-08-05 12:07:35,163 W
2024-08-05 12:07:40,141 W
2024-08-05 12:07:45,142 W
2024-08-05 12:07:50,144 W
2024-08-05 12:07:55,160 W
2024-08-05 12:08:00,143 W
2024-08-05 12:08:05,177 W
2024-08-05 12:08:10,139 W
2024-08-05 12:08:15,166 W
2024-08-05 12:08:20,142 W
2024-08-05 12:08:25,169 W
2024-08-05 12:08:30,152 W
2024-08-05 12:08:35,151 W
2024-08-05 12:08:40,143 W
2024-08-05 12:08:45,137 W
2024-08-05 12:08:50,149 W
2024-08-05 12:08:55,167 W
2024-08-05 12:09:00,148 W
2024-08-05 12:09:05,156 W
2024-08-05 12:09:10,151 W
2024-08-05 12:09:15,139 W
2024-08-05 12:09:20,148 W
2024-08-05 12:09:25,162 W
2024-08-05 12:09:30,146 W
2024-08-05 12:09:35,161 W
2024-08-05 12:09:40,140 W
2024-08-05 12:09:45,134 W
2024-08-05 12:09:50,146 W
2024-08-05 12:09:55,160 W
2024-08-05 12:10:00,148 W
2024-08-05 12:10:05,143 W
2024-08-05 12:10:10,152 W
2024-08-05 12:10:15,133 W
2024-08-05 12:10:20,142 W
2024-08-05 12:10:25,166 W
2024-08-05 12:10:30,129 W
2024-08-05 12:10:35,158 W
2024-08-05 12:10:40,129 W
2024-08-05 12:10:45,145 W
2024-08-05 12:10:50,156 W
2024-08-05 12:10:55,159 W
2024-08-05 12:11:00,148 W
2024-08-05 12:11:05,146 W
2024-08-05 12:11:10,149 W
2024-08-05 12:11:15,142 W
2024-08-05 12:11:20,140 W
2024-08-05 12:11:25,180 W
2024-08-05 12:11:30,136 W
2024-08-05 12:11:35,157 W
2024-08-05 12:11:40,143 W
2024-08-05 12:11:45,129 W
2024-08-05 12:11:50,140 W
2024-08-05 12:11:55,165 W
2024-08-05 12:12:00,136 W
2024-08-05 12:12:05,139 W
2024-08-05 12:12:10,126 W
2024-08-05 12:12:15,161 W
2024-08-05 12:12:20,129 W
2024-08-05 12:12:25,162 W
2024-08-05 12:12:30,137 W
2024-08-05 12:12:35,148 W
2024-08-05 12:12:40,151 W
2024-08-05 12:12:45,136 W
2024-08-05 12:12:50,137 W
2024-08-05 12:12:55,161 W
2024-08-05 12:13:00,129 W
2024-08-05 12:13:05,136 W
2024-08-05 12:13:10,149 W
2024-08-05 12:13:15,155 W
2024-08-05 12:13:20,137 W
2024-08-05 12:13:25,135 W
2024-08-05 12:13:30,159 W
2024-08-05 12:13:35,161 W
2024-08-05 12:13:40,167 W
2024-08-05 12:13:45,149 W
2024-08-05 12:13:50,130 W
2024-08-05 12:13:55,141 W
2024-08-05 12:14:00,141 W
2024-08-05 12:14:05,132 W
2024-08-05 12:14:10,163 W
2024-08-05 12:14:15,166 W
2024-08-05 12:14:20,135 W
2024-08-05 12:14:25,146 W
2024-08-05 12:14:30,130 W
2024-08-05 12:14:35,138 W
2024-08-05 12:14:40,173 W
2024-08-05 12:14:45,156 W
2024-08-05 12:14:50,145 W
2024-08-05 12:14:55,136 W
2024-08-05 12:15:00,142 W
2024-08-05 12:15:05,156 W
2024-08-05 12:15:10,157 W
2024-08-05 12:15:15,139 W
2024-08-05 12:15:20,132 W
2024-08-05 12:15:25,141 W
2024-08-05 12:15:30,141 W
2024-08-05 12:15:35,149 W
2024-08-05 12:15:40,152 W
2024-08-05 12:15:45,150 W
2024-08-05 12:15:50,149 W
2024-08-05 12:15:55,134 W
2024-08-05 12:16:00,145 W
2024-08-05 12:16:05,131 W
2024-08-05 12:16:10,174 W
2024-08-05 12:16:15,162 W
2024-08-05 12:16:20,134 W
2024-08-05 12:16:25,140 W
2024-08-05 12:16:30,143 W
2024-08-05 12:16:35,160 W
2024-08-05 12:16:40,177 W
2024-08-05 12:16:45,150 W
2024-08-05 12:16:50,148 W
2024-08-05 12:16:55,154 W
2024-08-05 12:17:00,154 W
2024-08-05 12:17:05,170 W
2024-08-05 12:17:10,173 W
